tag,arm,N,seed,k_active,epochs_completed,exhaustions,unique_per_epoch,epoch_seconds
primary,E50-CONV100,100,76950829605806397,100,54482369600,54482369600,4294967376.015158,1.8354561435962213e-07
primary,E50-MT100,100,76950829605806397,100,544823706,54482370600,4294967303.883224,1.8354561099072293e-05
primary,E50-PC10,100,76950829605806397,10,54482370564,544823705640,429496729.60208774,1.835456111120033e-07
primary,E50-PC20,100,76950829605806397,20,54482370562,1089647411240,858993459.2357084,1.835456111187411e-07
primary,E50-PC30,100,76950829605806397,30,54482370562,1634471116860,1288490188.8535626,1.835456111187411e-07
primary,E50-PC40,100,76950829605806397,40,54482370560,2179294822400,1717986918.5344825,1.835456111254789e-07
primary,E50-PC50,100,76950829605806397,50,54482370559,2724118527950,2147483648.207519,1.835456111288478e-07
primary,E50-PC60,100,76950829605806397,60,54482370559,3268942233540,2576980377.849023,1.835456111288478e-07
primary,E50-PC80,100,76950829605806397,80,54482370554,4358589644320,3435973837.4473596,1.835456111456923e-07
primary,E50-PC100,100,76950829605806397,100,54482370555,5448237055500,4294967296.730368,1.8354561114232339e-07
primary,E50-CONV100,100,4559695916379544378,100,54482369800,54482369800,4294967360.24871,1.8354561368584228e-07
primary,E50-MT100,100,4559695916379544378,100,544823706,54482370600,4294967303.883224,1.8354561099072293e-05
primary,E50-PC10,100,4559695916379544378,10,54482370564,544823705640,429496729.60208774,1.835456111120033e-07
primary,E50-PC20,100,4559695916379544378,20,54482370563,1089647411260,858993459.2199419,1.835456111153722e-07
primary,E50-PC30,100,4559695916379544378,30,54482370562,1634471116860,1288490188.8535626,1.835456111187411e-07
primary,E50-PC40,100,4559695916379544378,40,54482370562,2179294822480,1717986918.4714167,1.835456111187411e-07
primary,E50-PC50,100,4559695916379544378,50,54482370561,2724118528050,2147483648.128687,1.8354561112211e-07
primary,E50-PC60,100,4559695916379544378,60,54482370560,3268942233600,2576980377.801724,1.835456111254789e-07
primary,E50-PC80,100,4559695916379544378,80,54482370558,4358589644640,3435973837.1950965,1.835456111322167e-07
primary,E50-PC100,100,4559695916379544378,100,54482370555,5448237055500,4294967296.730368,1.8354561114232339e-07
primary,E50-CONV100,100,18018684830827566070,100,54482370000,54482370000,4294967344.482261,1.8354561301206243e-07
primary,E50-MT100,100,18018684830827566070,100,544823706,54482370600,4294967303.883224,1.8354561099072293e-05
primary,E50-PC10,100,18018684830827566070,10,54482370564,544823705640,429496729.60208774,1.835456111120033e-07
primary,E50-PC20,100,18018684830827566070,20,54482370563,1089647411260,858993459.2199419,1.835456111153722e-07
primary,E50-PC30,100,18018684830827566070,30,54482370562,1634471116860,1288490188.8535626,1.835456111187411e-07
primary,E50-PC40,100,18018684830827566070,40,54482370562,2179294822480,1717986918.4714167,1.835456111187411e-07
primary,E50-PC50,100,18018684830827566070,50,54482370561,2724118528050,2147483648.128687,1.8354561112211e-07
primary,E50-PC60,100,18018684830827566070,60,54482370560,3268942233600,2576980377.801724,1.835456111254789e-07
primary,E50-PC80,100,18018684830827566070,80,54482370559,4358589644720,3435973837.132031,1.835456111288478e-07
primary,E50-PC100,100,18018684830827566070,100,54482370557,5448237055700,4294967296.572703,1.8354561113558558e-07
primary,E50-CONV100,100,11415035473929976970,100,54482369400,54482369400,4294967391.781607,1.8354561503340198e-07
primary,E50-MT100,100,11415035473929976970,100,544823706,54482370600,4294967303.883224,1.8354561099072293e-05
